cust_id,label
4,0.05886884218893097
9,0.007816259761224499
12,0.05624860709056214
16,0.027179213424040463
19,0.020009817110691688
20,0.023074403458797722
21,0.058481276999695186
24,0.07392154915388884
25,0.05583043796415844
27,0.027367799661568555
30,0.019879794617489337
31,0.029416263906576506
46,0.02828975498773484
47,0.008241652448182995
49,0.008928833644450346
50,0.07760370997081006
53,0.018315508416316528
63,0.2031995582601931
65,0.13248332942830002
66,0.04108038678097467
68,0.049908656866902976
69,0.06760912874734482
76,0.020547705693293505
79,0.017559635551181663
86,0.01688632792898374
91,0.30828421056180066
98,0.02889566638769361
100,0.04730664918164325
104,0.007116904532878625
106,0.01142779742934636
108,0.05495065413861347
117,0.021451116772581106
128,0.21071224807676014
131,0.04220414164848332
132,0.01922088860899017
134,0.017734100369258148
138,0.057526912693211245
140,0.012404295181915916
142,0.009922260487037498
144,0.05515198794269621
148,0.17510833579933616
150,0.023468028371278718
151,0.007145642456794787
152,0.037949229011459314
155,0.020152614136583598
158,0.15839500171034476
162,0.01621322944231239
171,0.027119367976664796
173,0.09539875814330781
176,0.02537560531127494
184,0.034585463642317
185,0.12949655894532386
191,0.09362703972953734
195,0.04321084213747627
199,0.025429164957695247
200,0.029018693065274596
206,0.08205066060498287
210,0.040954451671340486
219,0.03412676941799845
221,0.11317272723951105
223,0.01897636495891195
227,0.012137981682289873
230,0.021771981534659424
232,0.03004387154031249
238,0.024692658598010946
241,0.05864880927376119
245,0.08068043505114728
263,0.013746270090774775
265,0.079366255286973
267,0.022132009901475805
273,0.040746074778834275
274,0.010564334347730842
289,0.031116404820629395
290,0.006357942166263326
291,0.01902243116690853
298,0.050952352949453904
299,0.020691887031450692
300,0.007905735238674723
301,0.03798825330371634
304,0.014130310757233025
311,0.09051671863838096
312,0.03717909231192387
314,0.029564928759036525
319,0.016548919693225903
320,0.03306507971443014
357,0.011486246710974746
363,0.013721842705334095
364,0.015332893720241814
366,0.06565508355690323
369,0.02394263688087416
382,0.01292265593189951
387,0.017218297925826173
388,0.031042084174093442
389,0.03338652698342316
390,0.03185478617589401
397,0.02039260024855845
398,0.05299094228435887
401,0.009771730774964613
402,0.021684015554983234
407,0.05372090601688381
409,0.03386553398981236
412,0.025160581992830153
415,0.05433900691201723
416,0.008035424713278448
423,0.005858474689647061
